#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:P06971	uniprotkb:P05820	intact:EBI-1116714|uniprotkb:P71280|uniprotkb:P75665	intact:EBI-6413473	psi-mi:fhua_ecoli(display_long)|uniprotkb:JW0146(locus name)|uniprotkb:fhuA(gene name)|psi-mi:fhuA(display_short)|uniprotkb:tonA(gene name synonym)|uniprotkb:b0150(locus name)|uniprotkb:Ferric hydroxamate uptake(gene name synonym)|uniprotkb:Ferric hydroxamate receptor(gene name synonym)|uniprotkb:Ferrichrome-iron receptor(gene name synonym)	psi-mi:ceam_ecolx(display_long)|uniprotkb:cma(gene name)|psi-mi:cma(display_short)	psi-mi:"MI:0405"(competition binding)	Helbig et al. (2011)	pubmed:21148729|imex:IM-18380	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:562(ecolx)|taxid:562(Escherichia coli)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6413477|mpidb:MPIDB-INT-1522|imex:IM-18380-1	intact-miscore:0.40
uniprotkb:Q46948	uniprotkb:P0CE47	intact:EBI-6412722|uniprotkb:Q2MC02	intact:EBI-301077|uniprotkb:O68929|uniprotkb:P02990|uniprotkb:Q2M704|uniprotkb:Q2M8R6|uniprotkb:Q8X4S9|uniprotkb:Q8XED3|uniprotkb:P0A6N1	psi-mi:yajl_ecoli(display_long)|uniprotkb:Maillard deglycase(gene name synonym)|uniprotkb:yajL(gene name)|psi-mi:yajL(display_short)|uniprotkb:thiJ(gene name synonym)|uniprotkb:JW5057(locus name)|uniprotkb:b0424(locus name)|uniprotkb:Chaperone protein YajL(gene name synonym)	psi-mi:eftu1_ecoli(display_long)|uniprotkb:tufA(gene name)|psi-mi:tufA(display_short)|uniprotkb:b3339(locus name)|uniprotkb:P-43(gene name synonym)|uniprotkb:JW3301(locus name)|uniprotkb:Bacteriophage Q beta RNA-directed RNA polymerase subunit III(gene name synonym)	psi-mi:"MI:0096"(pull down)	Kthiri et al. (2010)	pubmed:20889753|imex:IM-18369	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6412718|mpidb:MPIDB-INT-1453|imex:IM-18369-1	intact-miscore:0.35
uniprotkb:Q46948	uniprotkb:P0AA10	intact:EBI-6412722|uniprotkb:Q2MC02	intact:EBI-543801|uniprotkb:P02410|uniprotkb:Q2M8Y2	psi-mi:yajl_ecoli(display_long)|uniprotkb:Maillard deglycase(gene name synonym)|uniprotkb:yajL(gene name)|psi-mi:yajL(display_short)|uniprotkb:thiJ(gene name synonym)|uniprotkb:JW5057(locus name)|uniprotkb:b0424(locus name)|uniprotkb:Chaperone protein YajL(gene name synonym)	psi-mi:rl13_ecoli(display_long)|uniprotkb:rplM(gene name)|psi-mi:rplM(display_short)|uniprotkb:Large ribosomal subunit protein uL13(gene name synonym)|uniprotkb:JW3200(locus name)|uniprotkb:b3231(locus name)	psi-mi:"MI:0096"(pull down)	Kthiri et al. (2010)	pubmed:20889753|imex:IM-18369	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6412718|mpidb:MPIDB-INT-1453|imex:IM-18369-1	intact-miscore:0.35
uniprotkb:Q46948	uniprotkb:P0AA43	intact:EBI-6412722|uniprotkb:Q2MC02	intact:EBI-557810|uniprotkb:P33918|uniprotkb:Q2MAQ8	psi-mi:yajl_ecoli(display_long)|uniprotkb:Maillard deglycase(gene name synonym)|uniprotkb:yajL(gene name)|psi-mi:yajL(display_short)|uniprotkb:thiJ(gene name synonym)|uniprotkb:JW5057(locus name)|uniprotkb:b0424(locus name)|uniprotkb:Chaperone protein YajL(gene name synonym)	psi-mi:rsua_ecoli(display_long)|uniprotkb:yejD(gene name synonym)|uniprotkb:16S pseudouridylate 516 synthase(gene name synonym)|uniprotkb:"16S rRNA pseudouridine(516) synthase"(gene name synonym)|uniprotkb:rRNA-uridine isomerase A(gene name synonym)|uniprotkb:rRNA pseudouridylate synthase A(gene name synonym)|uniprotkb:rsuA(gene name)|psi-mi:rsuA(display_short)|uniprotkb:b2183(locus name)|uniprotkb:JW2171(locus name)	psi-mi:"MI:0096"(pull down)	Kthiri et al. (2010)	pubmed:20889753|imex:IM-18369	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6412718|mpidb:MPIDB-INT-1453|imex:IM-18369-1	intact-miscore:0.35
uniprotkb:Q46948	uniprotkb:P0A7L0	intact:EBI-6412722|uniprotkb:Q2MC02	intact:EBI-543771|uniprotkb:P02384|uniprotkb:Q2M8S0	psi-mi:yajl_ecoli(display_long)|uniprotkb:Maillard deglycase(gene name synonym)|uniprotkb:yajL(gene name)|psi-mi:yajL(display_short)|uniprotkb:thiJ(gene name synonym)|uniprotkb:JW5057(locus name)|uniprotkb:b0424(locus name)|uniprotkb:Chaperone protein YajL(gene name synonym)	psi-mi:rl1_ecoli(display_long)|uniprotkb:rplA(gene name)|psi-mi:rplA(display_short)|uniprotkb:Large ribosomal subunit protein uL1(gene name synonym)|uniprotkb:JW3947(locus name)|uniprotkb:b3984(locus name)	psi-mi:"MI:0096"(pull down)	Kthiri et al. (2010)	pubmed:20889753|imex:IM-18369	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6412718|mpidb:MPIDB-INT-1453|imex:IM-18369-1	intact-miscore:0.35
uniprotkb:Q46948	uniprotkb:P0A7L8	intact:EBI-6412722|uniprotkb:Q2MC02	intact:EBI-546875|uniprotkb:P02427|uniprotkb:Q2M927	psi-mi:yajl_ecoli(display_long)|uniprotkb:Maillard deglycase(gene name synonym)|uniprotkb:yajL(gene name)|psi-mi:yajL(display_short)|uniprotkb:thiJ(gene name synonym)|uniprotkb:JW5057(locus name)|uniprotkb:b0424(locus name)|uniprotkb:Chaperone protein YajL(gene name synonym)	psi-mi:rl27_ecoli(display_long)|uniprotkb:rpmA(gene name)|psi-mi:rpmA(display_short)|uniprotkb:Large ribosomal subunit protein bL27(gene name synonym)|uniprotkb:JW3152(locus name)|uniprotkb:b3185(locus name)	psi-mi:"MI:0096"(pull down)	Kthiri et al. (2010)	pubmed:20889753|imex:IM-18369	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6412718|mpidb:MPIDB-INT-1453|imex:IM-18369-1	intact-miscore:0.35
uniprotkb:Q46948	uniprotkb:P0A7M2	intact:EBI-6412722|uniprotkb:Q2MC02	intact:EBI-543024|uniprotkb:P02428|uniprotkb:Q2M7V1	psi-mi:yajl_ecoli(display_long)|uniprotkb:Maillard deglycase(gene name synonym)|uniprotkb:yajL(gene name)|psi-mi:yajL(display_short)|uniprotkb:thiJ(gene name synonym)|uniprotkb:JW5057(locus name)|uniprotkb:b0424(locus name)|uniprotkb:Chaperone protein YajL(gene name synonym)	psi-mi:rl28_ecoli(display_long)|uniprotkb:rpmB(gene name)|psi-mi:rpmB(display_short)|uniprotkb:Large ribosomal subunit protein bL28(gene name synonym)|uniprotkb:JW3612(locus name)|uniprotkb:b3637(locus name)	psi-mi:"MI:0096"(pull down)	Kthiri et al. (2010)	pubmed:20889753|imex:IM-18369	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6412718|mpidb:MPIDB-INT-1453|imex:IM-18369-1	intact-miscore:0.35
uniprotkb:P39404	uniprotkb:P0DMC7	intact:EBI-551429|uniprotkb:Q2M5V0	intact:EBI-369670|uniprotkb:P14374|uniprotkb:P69407	psi-mi:bglj_ecoli(display_long)|uniprotkb:yjjR(gene name synonym)|uniprotkb:bglJ(gene name)|psi-mi:bglJ(display_short)|uniprotkb:b4366(locus name)|uniprotkb:JW5955(locus name)	psi-mi:rcsb_ecoli(display_long)|uniprotkb:rcsB(gene name)|psi-mi:rcsB(display_short)|uniprotkb:Capsular synthesis regulator component B(gene name synonym)|uniprotkb:JW2205(locus name)|uniprotkb:b2217(locus name)	psi-mi:"MI:0369"(lex-a dimerization assay)	Venkatesh et al. (2010)	pubmed:20952573|imex:IM-18372	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6412885|mpidb:MPIDB-INT-1500|imex:IM-18372-1	intact-miscore:0.51
uniprotkb:P0DMC9	uniprotkb:P0DMC7	intact:EBI-556695|uniprotkb:P69405|uniprotkb:P24210|uniprotkb:Q47585	intact:EBI-369670|uniprotkb:P14374|uniprotkb:P69407	psi-mi:rcsa_ecoli(display_long)|uniprotkb:rcsA(gene name)|psi-mi:rcsA(display_short)|uniprotkb:Colanic acid capsular biosynthesis activation protein A(gene name synonym)|uniprotkb:JW1935(locus name)|uniprotkb:b1951(locus name)	psi-mi:rcsb_ecoli(display_long)|uniprotkb:rcsB(gene name)|psi-mi:rcsB(display_short)|uniprotkb:Capsular synthesis regulator component B(gene name synonym)|uniprotkb:JW2205(locus name)|uniprotkb:b2217(locus name)	psi-mi:"MI:0369"(lex-a dimerization assay)	Venkatesh et al. (2010)	pubmed:20952573|imex:IM-18372	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6412895|mpidb:MPIDB-INT-1499|imex:IM-18372-2	intact-miscore:0.37
uniprotkb:P0DMC7	uniprotkb:P0DMC7	intact:EBI-369670|uniprotkb:P14374|uniprotkb:P69407	intact:EBI-369670|uniprotkb:P14374|uniprotkb:P69407	psi-mi:rcsb_ecoli(display_long)|uniprotkb:rcsB(gene name)|psi-mi:rcsB(display_short)|uniprotkb:Capsular synthesis regulator component B(gene name synonym)|uniprotkb:JW2205(locus name)|uniprotkb:b2217(locus name)	psi-mi:rcsb_ecoli(display_long)|uniprotkb:rcsB(gene name)|psi-mi:rcsB(display_short)|uniprotkb:Capsular synthesis regulator component B(gene name synonym)|uniprotkb:JW2205(locus name)|uniprotkb:b2217(locus name)	psi-mi:"MI:0369"(lex-a dimerization assay)	Venkatesh et al. (2010)	pubmed:20952573|imex:IM-18372	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6412905|mpidb:MPIDB-INT-1498|imex:IM-18372-3	intact-miscore:0.55
uniprotkb:P39404	uniprotkb:P39404	intact:EBI-551429|uniprotkb:Q2M5V0	intact:EBI-551429|uniprotkb:Q2M5V0	psi-mi:bglj_ecoli(display_long)|uniprotkb:yjjR(gene name synonym)|uniprotkb:bglJ(gene name)|psi-mi:bglJ(display_short)|uniprotkb:b4366(locus name)|uniprotkb:JW5955(locus name)	psi-mi:bglj_ecoli(display_long)|uniprotkb:yjjR(gene name synonym)|uniprotkb:bglJ(gene name)|psi-mi:bglJ(display_short)|uniprotkb:b4366(locus name)|uniprotkb:JW5955(locus name)	psi-mi:"MI:0369"(lex-a dimerization assay)	Venkatesh et al. (2010)	pubmed:20952573|imex:IM-18372	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6412918|mpidb:MPIDB-INT-1497|imex:IM-18372-4	intact-miscore:0.37
uniprotkb:P0ADD7	uniprotkb:P0ADD7	intact:EBI-6412924|uniprotkb:P39403|uniprotkb:Q2M5V1	intact:EBI-6412924|uniprotkb:P39403|uniprotkb:Q2M5V1	psi-mi:yjjq_ecoli(display_long)|uniprotkb:yjjQ(gene name)|psi-mi:yjjQ(display_short)|uniprotkb:JW4329(locus name)|uniprotkb:b4365(locus name)	psi-mi:yjjq_ecoli(display_long)|uniprotkb:yjjQ(gene name)|psi-mi:yjjQ(display_short)|uniprotkb:JW4329(locus name)|uniprotkb:b4365(locus name)	psi-mi:"MI:0369"(lex-a dimerization assay)	Venkatesh et al. (2010)	pubmed:20952573|imex:IM-18372	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6412931|mpidb:MPIDB-INT-1496|imex:IM-18372-5	intact-miscore:0.37
uniprotkb:P0DMC7	uniprotkb:P39404	intact:EBI-369670|uniprotkb:P14374|uniprotkb:P69407	intact:EBI-551429|uniprotkb:Q2M5V0	psi-mi:rcsb_ecoli(display_long)|uniprotkb:rcsB(gene name)|psi-mi:rcsB(display_short)|uniprotkb:Capsular synthesis regulator component B(gene name synonym)|uniprotkb:JW2205(locus name)|uniprotkb:b2217(locus name)	psi-mi:bglj_ecoli(display_long)|uniprotkb:yjjR(gene name synonym)|uniprotkb:bglJ(gene name)|psi-mi:bglJ(display_short)|uniprotkb:b4366(locus name)|uniprotkb:JW5955(locus name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Venkatesh et al. (2010)	pubmed:20952573|imex:IM-18372	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6412937|mpidb:MPIDB-INT-1501|imex:IM-18372-6	intact-miscore:0.51
uniprotkb:P0AG86	uniprotkb:P10408	intact:EBI-555877|uniprotkb:Q2M7S3|uniprotkb:P15040	intact:EBI-543213|uniprotkb:P75642	psi-mi:secb_ecoli(display_long)|uniprotkb:secB(gene name)|psi-mi:secB(display_short)|uniprotkb:Chaperone SecB(gene name synonym)|uniprotkb:JW3584(locus name)|uniprotkb:b3609(locus name)	psi-mi:seca_ecoli(display_long)|uniprotkb:secA(gene name)|psi-mi:secA(display_short)|uniprotkb:azi(gene name synonym)|uniprotkb:pea(gene name synonym)|uniprotkb:prlD(gene name synonym)|uniprotkb:b0098(locus name)|uniprotkb:JW0096(locus name)	psi-mi:"MI:0030"(cross-linking study)	Suo et al. (2011)	pubmed:21037004|imex:IM-18375	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6413019|mpidb:MPIDB-INT-1509|imex:IM-18375-1	intact-miscore:0.62
uniprotkb:P10408	uniprotkb:P10408	intact:EBI-543213|uniprotkb:P75642	intact:EBI-543213|uniprotkb:P75642	psi-mi:seca_ecoli(display_long)|uniprotkb:secA(gene name)|psi-mi:secA(display_short)|uniprotkb:azi(gene name synonym)|uniprotkb:pea(gene name synonym)|uniprotkb:prlD(gene name synonym)|uniprotkb:b0098(locus name)|uniprotkb:JW0096(locus name)	psi-mi:seca_ecoli(display_long)|uniprotkb:secA(gene name)|psi-mi:secA(display_short)|uniprotkb:azi(gene name synonym)|uniprotkb:pea(gene name synonym)|uniprotkb:prlD(gene name synonym)|uniprotkb:b0098(locus name)|uniprotkb:JW0096(locus name)	psi-mi:"MI:0030"(cross-linking study)	Suo et al. (2011)	pubmed:21037004|imex:IM-18375	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6413191|mpidb:MPIDB-INT-1507|imex:IM-18375-3	intact-miscore:0.78
uniprotkb:P0AG86	uniprotkb:P0AG86	intact:EBI-555877|uniprotkb:Q2M7S3|uniprotkb:P15040	intact:EBI-555877|uniprotkb:Q2M7S3|uniprotkb:P15040	psi-mi:secb_ecoli(display_long)|uniprotkb:secB(gene name)|psi-mi:secB(display_short)|uniprotkb:Chaperone SecB(gene name synonym)|uniprotkb:JW3584(locus name)|uniprotkb:b3609(locus name)	psi-mi:secb_ecoli(display_long)|uniprotkb:secB(gene name)|psi-mi:secB(display_short)|uniprotkb:Chaperone SecB(gene name synonym)|uniprotkb:JW3584(locus name)|uniprotkb:b3609(locus name)	psi-mi:"MI:0030"(cross-linking study)	Suo et al. (2011)	pubmed:21037004|imex:IM-18375	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6413081|mpidb:MPIDB-INT-1508|imex:IM-18375-2	intact-miscore:0.40
uniprotkb:P50466	uniprotkb:P50466	intact:EBI-1130981|uniprotkb:Q2M9D4	intact:EBI-1130981|uniprotkb:Q2M9D4	psi-mi:aer_ecoli(display_long)|uniprotkb:aer(gene name)|psi-mi:aer(display_short)|uniprotkb:air(gene name synonym)|uniprotkb:b3072(locus name)|uniprotkb:JW3043(locus name)|uniprotkb:yqjJ(gene name synonym)	psi-mi:aer_ecoli(display_long)|uniprotkb:aer(gene name)|psi-mi:aer(display_short)|uniprotkb:air(gene name synonym)|uniprotkb:b3072(locus name)|uniprotkb:JW3043(locus name)|uniprotkb:yqjJ(gene name synonym)	psi-mi:"MI:0030"(cross-linking study)	Campbell et al. (2011)	pubmed:21097634|imex:IM-18376	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6413385|mpidb:MPIDB-INT-1546|imex:IM-18376-2	intact-miscore:0.59
uniprotkb:P50466	uniprotkb:P50466	intact:EBI-1130981|uniprotkb:Q2M9D4	intact:EBI-1130981|uniprotkb:Q2M9D4	psi-mi:aer_ecoli(display_long)|uniprotkb:aer(gene name)|psi-mi:aer(display_short)|uniprotkb:air(gene name synonym)|uniprotkb:b3072(locus name)|uniprotkb:JW3043(locus name)|uniprotkb:yqjJ(gene name synonym)	psi-mi:aer_ecoli(display_long)|uniprotkb:aer(gene name)|psi-mi:aer(display_short)|uniprotkb:air(gene name synonym)|uniprotkb:b3072(locus name)|uniprotkb:JW3043(locus name)|uniprotkb:yqjJ(gene name synonym)	psi-mi:"MI:0030"(cross-linking study)	Campbell et al. (2011)	pubmed:21097634|imex:IM-18376	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6452886|imex:IM-18376-3|mpidb:MPIDB-INT-1545	intact-miscore:0.59
uniprotkb:P50466	uniprotkb:P50466	intact:EBI-1130981|uniprotkb:Q2M9D4	intact:EBI-1130981|uniprotkb:Q2M9D4	psi-mi:aer_ecoli(display_long)|uniprotkb:aer(gene name)|psi-mi:aer(display_short)|uniprotkb:air(gene name synonym)|uniprotkb:b3072(locus name)|uniprotkb:JW3043(locus name)|uniprotkb:yqjJ(gene name synonym)	psi-mi:aer_ecoli(display_long)|uniprotkb:aer(gene name)|psi-mi:aer(display_short)|uniprotkb:air(gene name synonym)|uniprotkb:b3072(locus name)|uniprotkb:JW3043(locus name)|uniprotkb:yqjJ(gene name synonym)	psi-mi:"MI:0030"(cross-linking study)	Campbell et al. (2011)	pubmed:21097634|imex:IM-18376	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6413355|mpidb:MPIDB-INT-1545|imex:IM-18376-1	intact-miscore:0.59
uniprotkb:P0ADV9	uniprotkb:P0ADV9	intact:EBI-1131969|uniprotkb:P45397|uniprotkb:Q2M913	intact:EBI-1131969|uniprotkb:P45397|uniprotkb:Q2M913	psi-mi:lptc_ecoli(display_long)|uniprotkb:lptC(gene name)|psi-mi:lptC(display_short)|uniprotkb:b3199(locus name)|uniprotkb:JW3166(locus name)|uniprotkb:yrbK(gene name synonym)	psi-mi:lptc_ecoli(display_long)|uniprotkb:lptC(gene name)|psi-mi:lptC(display_short)|uniprotkb:b3199(locus name)|uniprotkb:JW3166(locus name)|uniprotkb:yrbK(gene name synonym)	psi-mi:"MI:0071"(molecular sieving)	Sperandeo et al. (2011)	pubmed:21169485|imex:IM-18381	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6413545|mpidb:MPIDB-INT-1527|imex:IM-18381-5	intact-miscore:0.52
uniprotkb:P0ADV1	uniprotkb:P0ADV9	intact:EBI-1132001|uniprotkb:P38685|uniprotkb:Q2M912	intact:EBI-1131969|uniprotkb:P45397|uniprotkb:Q2M913	psi-mi:lpta_ecoli(display_long)|uniprotkb:lptA(gene name)|psi-mi:lptA(display_short)|uniprotkb:b3200(locus name)|uniprotkb:JW3167(locus name)|uniprotkb:yhbN(gene name synonym)	psi-mi:lptc_ecoli(display_long)|uniprotkb:lptC(gene name)|psi-mi:lptC(display_short)|uniprotkb:b3199(locus name)|uniprotkb:JW3166(locus name)|uniprotkb:yrbK(gene name synonym)	psi-mi:"MI:0096"(pull down)	Sperandeo et al. (2011)	pubmed:21169485|imex:IM-18381	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6413515|mpidb:MPIDB-INT-1523|imex:IM-18381-2	intact-miscore:0.59
uniprotkb:P0ADV9	uniprotkb:P0ADV1	intact:EBI-1131969|uniprotkb:P45397|uniprotkb:Q2M913	intact:EBI-1132001|uniprotkb:P38685|uniprotkb:Q2M912	psi-mi:lptc_ecoli(display_long)|uniprotkb:lptC(gene name)|psi-mi:lptC(display_short)|uniprotkb:b3199(locus name)|uniprotkb:JW3166(locus name)|uniprotkb:yrbK(gene name synonym)	psi-mi:lpta_ecoli(display_long)|uniprotkb:lptA(gene name)|psi-mi:lptA(display_short)|uniprotkb:b3200(locus name)|uniprotkb:JW3167(locus name)|uniprotkb:yhbN(gene name synonym)	psi-mi:"MI:0096"(pull down)	Sperandeo et al. (2011)	pubmed:21169485|imex:IM-18381	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6413537|mpidb:MPIDB-INT-1524|imex:IM-18381-4	intact-miscore:0.59
uniprotkb:P0ADV9	uniprotkb:P0ADV9	intact:EBI-1131969|uniprotkb:P45397|uniprotkb:Q2M913	intact:EBI-1131969|uniprotkb:P45397|uniprotkb:Q2M913	psi-mi:lptc_ecoli(display_long)|uniprotkb:lptC(gene name)|psi-mi:lptC(display_short)|uniprotkb:b3199(locus name)|uniprotkb:JW3166(locus name)|uniprotkb:yrbK(gene name synonym)	psi-mi:lptc_ecoli(display_long)|uniprotkb:lptC(gene name)|psi-mi:lptC(display_short)|uniprotkb:b3199(locus name)|uniprotkb:JW3166(locus name)|uniprotkb:yrbK(gene name synonym)	psi-mi:"MI:0030"(cross-linking study)	Sperandeo et al. (2011)	pubmed:21169485|imex:IM-18381	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6413497|mpidb:MPIDB-INT-1525|imex:IM-18381-1	intact-miscore:0.52
uniprotkb:P0ADV9	uniprotkb:P0ADV9	intact:EBI-1131969|uniprotkb:P45397|uniprotkb:Q2M913	intact:EBI-1131969|uniprotkb:P45397|uniprotkb:Q2M913	psi-mi:lptc_ecoli(display_long)|uniprotkb:lptC(gene name)|psi-mi:lptC(display_short)|uniprotkb:b3199(locus name)|uniprotkb:JW3166(locus name)|uniprotkb:yrbK(gene name synonym)	psi-mi:lptc_ecoli(display_long)|uniprotkb:lptC(gene name)|psi-mi:lptC(display_short)|uniprotkb:b3199(locus name)|uniprotkb:JW3166(locus name)|uniprotkb:yrbK(gene name synonym)	psi-mi:"MI:0030"(cross-linking study)	Sperandeo et al. (2011)	pubmed:21169485|imex:IM-18381	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6413527|mpidb:MPIDB-INT-1526|imex:IM-18381-3	intact-miscore:0.52
uniprotkb:P0ADV9	uniprotkb:P0ADV9	intact:EBI-1131969|uniprotkb:P45397|uniprotkb:Q2M913	intact:EBI-1131969|uniprotkb:P45397|uniprotkb:Q2M913	psi-mi:lptc_ecoli(display_long)|uniprotkb:lptC(gene name)|psi-mi:lptC(display_short)|uniprotkb:b3199(locus name)|uniprotkb:JW3166(locus name)|uniprotkb:yrbK(gene name synonym)	psi-mi:lptc_ecoli(display_long)|uniprotkb:lptC(gene name)|psi-mi:lptC(display_short)|uniprotkb:b3199(locus name)|uniprotkb:JW3166(locus name)|uniprotkb:yrbK(gene name synonym)	psi-mi:"MI:0030"(cross-linking study)	Sperandeo et al. (2011)	pubmed:21169485|imex:IM-18381	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6413555|mpidb:MPIDB-INT-1528|imex:IM-18381-6	intact-miscore:0.52
