"Strain","Assembly Status","Replicon","Locus Tag","RefSeq Accession","GI Number","UniProtKB Accession","UniProtKB ID","Uniparc","UniRef100 ID","UniRef90 ID","UniRef50 ID","NCBI Locus Tag","NCBI Old Locus Tag","Affymetrix","Feature Type","Coordinates","Gene Length","Gene Name","Product Description","Product Name Confidence","Estimated MW (kDa)","Estimated Isoelectric Point (pI)","Estimated Charge (ph7)",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_44650","YP_791723.1","116049474","Q02K13","Q02K13_PSEAB","UPI00000C53C7","UniRef100_W0YPM7","UniRef90_A6V7X2","UniRef50_A6V7X2","PA14_44650","","","CDS","3975847..3976224(-)","378","","hypothetical protein","","14.0","8.80","1.46",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_03163","YP_788408.1","116054432","Q02UH8","Q02UH8_PSEAB","UPI0000E4489E","UniRef100_Q02UH8","UniRef90_Q02UH8","UniRef50_Q48C34","PA14_03163","","","CDS","278510..279133(+)","624","","hypothetical protein","","24.2","6.46","-4.39",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_49620","YP_792123.1","116049075","Q02IW3","Q02IW3_PSEAB","UPI000045D0BF","UniRef100_Q02IW3","UniRef90_A0A022P5F5","UniRef50_D7HXI9","PA14_49620","","","CDS","4415184..4415837(+)","654","","phosphoserine phosphatase","","24.4","5.01","-7.61",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_08190","YP_788805.1","116054360","Q02TD1","Q02TD1_PSEAB","UPI00000BBE52","UniRef100_Q02TD1","UniRef90_Q02TD1","UniRef50_A6UZD5","PA14_08190","","","CDS","701654..701911(+)","258","","hypothetical protein","","9.3","10.42","5.86",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_54370","YP_792517.1","116048683","Q02HR9","LEPA_PSEAB","UPI000012E483","UniRef100_B7UYX5","UniRef90_A6VAK9","UniRef50_O67618","PA14_54370","","","CDS","4820632..4822431(-)","1800","lepA","GTP-binding protein LepA","","66.3","5.34","-13.08",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_13150","YP_789196.1","116051961","Q02S90","Q02S90_PSEAB","UPI00000C5B79","UniRef100_W0YXU8","UniRef90_B7VBI7","UniRef50_G8Q9F7","PA14_13150","","","CDS","1129901..1132621(+)","2721","","transcriptional regulator","","101.3","6.04","-13.60",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_59140","YP_792910.1","116052595","Q02GM6","Q02GM6_PSEAB","UPI00001B2575","UniRef100_Q02GM6","UniRef90_A6V9S5","UniRef50_Q4LBP6","PA14_59140","","","CDS","5265756..5266289(+)","534","","hypothetical protein","","20.3","8.76","3.14",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_18120","YP_789595.1","116051567","Q02R41","Q02R41_PSEAB","UPI00003960FB","UniRef100_Q02R41","UniRef90_P28810","UniRef50_P28810","PA14_18120","","","CDS","1554529..1556022(+)","1494","mmsA","methylmalonate-semialdehyde dehydrogenase","","53.7","6.38","-4.28",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_63860","YP_793296.1","116052978","Q02FJ0","Q02FJ0_PSEAB","UPI0000396EC6","UniRef100_Q02FJ0","UniRef90_Q02FJ0","UniRef50_A4XRA3","PA14_63860","","","CDS","5692539..5693078(+)","540","","hypothetical protein","","19.5","6.35","-1.93",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_23000","YP_789992.1","116051177","Q02PZ4","Q02PZ4_PSEAB","UPI0000395FE7","UniRef100_S0IJA5","UniRef90_A0A077JQG2","UniRef50_G8PWC8","PA14_23000","","","CDS","1994594..1995439(+)","846","","ABC sugar transporter permease","","30.7","9.41","5.37",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_68940","YP_793692.1","116053368","Q02EE4","Q02EE4_PSEAB","UPI0000397031","UniRef100_Q02EE4","UniRef90_Q9HTX0","UniRef50_Q9HTX0","PA14_68940","","","CDS","6150109..6150930(+)","822","","hypothetical protein","","30.6","6.35","-3.71",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_27940","YP_790381.1","116050798","Q02NV5","Q02NV5_PSEAB","UPI0000395EE0","UniRef100_S0I1W0","UniRef90_Q9I045","UniRef50_Q9I045","PA14_27940","","","CDS","2418001..2419185(+)","1185","","two-component response regulator","","43.5","4.61","-16.36",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_32810","YP_790776.1","116050405","","","","","","","PA14_32810","","","CDS","2865179..2865490(+)","312","","hypothetical protein","","10.5","9.89","1.98",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_37830","YP_791176.1","116050011","Q02LL0","Q02LL0_PSEAB","UPI000039697D","UniRef100_Q02LL0","UniRef90_V6AFK0","UniRef50_G8Q428","PA14_37830","","","CDS","3373541..3374722(-)","1182","","pyridoxal-phosphate dependent protein","","41580.5","7.38","1.56",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_42850","YP_791572.1","116049623","Q02KG4","Q02KG4_PSEAB","UPI000012B278","UniRef100_Q9I351","UniRef90_Q9I351","UniRef50_Q2JPT8","PA14_42850","","","CDS","3808774..3809319(+)","546","folE","GTP cyclohydrolase I","","20.2","7.56","1.10",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_01910","YP_788312.1","116053875","Q02US4","Q02US4_PSEAB","UPI0000396C66","UniRef100_Q02US4","UniRef90_A6UXU3","UniRef50_A6UXU3","PA14_01910","","","CDS","174354..174959(+)","606","pcaG","protocatechuate 3,4-dioxygenase subunit alpha","","22.7","5.54","-6.14",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_48510","YP_792027.1","116049171","Q02J59","Q02J59_PSEAB","UPI000045D0E5","UniRef100_Q02J59","UniRef90_Q02J59","UniRef50_Q02J59","PA14_48510","","","CDS","4312055..4312390(+)","336","","hypothetical protein","","12.1","12.03","7.22",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_07010","YP_788710.1","116054266","Q02TM6","Q02TM6_PSEAB","UPI0000396DCB","UniRef100_A0A077JHX1","UniRef90_A6UZ02","UniRef50_Q88D54","PA14_07010","","","CDS","607682..608512(+)","831","","hypothetical protein","","29.8","8.88","6.01",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_53200","YP_792421.1","116048779","Q02I15","Q02I15_PSEAB","UPI00000C518F","UniRef100_Q9I585","UniRef90_Q9I585","UniRef50_Q9I585","PA14_53200","","","CDS","4715628..4716176(-)","549","","hypothetical protein","","20.0","10.08","6.23",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_11860","YP_789100.1","116052057","Q02SI6","Q02SI6_PSEAB","UPI0000131194","UniRef100_Q9HX08","UniRef90_Q9HX08","UniRef50_Q9HX08","PA14_11860","","","CDS","1027770..1028399(+)","630","","aromatic acid decarboxylase","","22.4","4.81","-6.20",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_58030","YP_792815.1","116052502","Q02GX1","Q02GX1_PSEAB","UPI0000396396","UniRef100_W0YWQ1","UniRef90_Q51404","UniRef50_Q51404","PA14_58030","","","CDS","5162131..5163507(-)","1377","fumC","fumarate hydratase","","48.7","5.85","-5.88",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_16960","YP_789499.1","116051662","Q02RD7","Q02RD7_PSEAB","UPI000039613C","UniRef100_W1MFK5","UniRef90_Q9HXX4","UniRef50_E2XRJ2","PA14_16960","","","CDS","1453305..1453928(-)","624","","amino acid transporter LysE","","21.8","11.82","10.64",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_62690","YP_793203.1","116052886","Q02FT3","Q02FT3_PSEAB","UPI00000C5DEB","UniRef100_W0YYI4","UniRef90_W0YYI4","UniRef50_A0A0D0R1C8","PA14_62690","","","CDS","5594686..5595030(-)","345","","hypothetical protein","","11.8","9.75","1.99",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_21860","YP_789896.1","116051272","Q02Q90","Q02Q90_PSEAB","UPI000039601D","UniRef100_Q02Q90","UniRef90_Q9HYY1","UniRef50_L0GN89","PA14_21860","","","CDS","1899826..1900305(+)","480","","hypothetical protein","","17.6","10.91","9.19",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_67720","YP_793598.1","116053275","Q02EN8","SECB_PSEAB","UPI00000C5F18","UniRef100_A6VDP6","UniRef90_A6VDP6","UniRef50_Q48C90","PA14_67720","","","CDS","6048769..6049260(-)","492","secB","preprotein translocase subunit SecB","","18.1","4.21","-8.80",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_26760","YP_790289.1","116050888","Q02P47","Q02P47_PSEAB","UPI00000C5860","UniRef100_W0YRM8","UniRef90_Q0PV94","UniRef50_Q4K8Z8","PA14_26760","","","CDS","2331804..2332400(+)","597","","transcriptional regulator","","22.1","4.92","-5.34",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_72760","YP_793991.1","116053664","Q02DJ5","Q02DJ5_PSEAB","UPI000037662B","UniRef100_Q6JTT6","UniRef90_Q6JTT6","UniRef50_Q6JTT6","PA14_72760","","","CDS","6480480..6481268(+)","789","","beta-lactamase","","29.1","9.75","6.90",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_31470","YP_790680.1","116050501","Q02N06","Q02N06_PSEAB","UPI0000395DFB","UniRef100_S0ICE5","UniRef90_W0WIZ9","UniRef50_Q4K9P8","PA14_31470","","","CDS","2735341..2737035(+)","1695","","AMP-binding protein","","62.7","6.07","-9.16",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_36590","YP_791080.1","116050105","Q02LV6","Q02LV6_PSEAB","UPI000045D287","UniRef100_Q02LV6","UniRef90_Q02LV6","UniRef50_Q02LV6","PA14_36590","","","CDS","3256792..3258846(+)","2055","","4-alpha-glucanotransferase","","74.7","6.04","-10.59",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_41680","YP_791476.1","116049719","Q02KR0","PSRP_PSEAB","UPI00000C548C","UniRef100_B7VBB0","UniRef90_B7VBB0","UniRef50_Q8EDU8","PA14_41680","","","CDS","3720802..3721626(+)","825","","hypothetical protein","","31.1","6.06","-2.89",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_00720","YP_788216.1","116053781","Q02V20","Q02V20_PSEAB","UPI00000C4F0D","UniRef100_W0YKT5","UniRef90_W0YKT5","UniRef50_W0YKT5","PA14_00720","","","CDS","71678..71911(+)","234","","hypothetical protein","","8.3","4.48","-3.08",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_47250","YP_791931.1","116049266","Q02JF5","Q02JF5_PSEAB","UPI00000C5309","UniRef100_W0YP09","UniRef90_W0YP09","UniRef50_W0YP09","PA14_47250","","","CDS","4209501..4209887(-)","387","","hypothetical protein","","14.2","6.23","-2.63",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_05770","YP_788615.1","116054172","Q02TX1","Q02TX1_PSEAB","UPI00000C5058","UniRef100_Q9I676","UniRef90_Q9I676","UniRef50_Q59699","PA14_05770","","","CDS","509567..511006(-)","1440","dhT","phenylhydantoinase","","52.2","6.17","-9.36",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_52020","YP_792329.1","116048870","Q02IA7","Q02IA7_PSEAB","UPI0000E44B7D","UniRef100_Q02IA7","UniRef90_Q9I512","UniRef50_Q9I512","PA14_52020","","","CDS","4616482..4617519(-)","1038","","hypothetical protein","","36.7","4.76","-5.79",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_10680","YP_789004.1","116052152","Q02ST2","Q02ST2_PSEAB","UPI00000D4263","UniRef100_G3XD59","UniRef90_G3XD59","UniRef50_G3XD59","PA14_10680","","","CDS","920399..920968(-)","570","","hypothetical protein","","20.9","10.39","14.06",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_56880","YP_792719.1","116052408","Q02H67","Q02H67_PSEAB","UPI000039635D","UniRef100_A0A069PZ62","UniRef90_W0YYN3","UniRef50_U5VAD4","PA14_56880","","","CDS","5067018..5068148(+)","1131","","membrane fusion protein","","40.9","5.60","-2.50",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_15790","YP_789403.1","116051758","Q02RN3","Q02RN3_PSEAB","UPI0000396182","UniRef100_S0HTX6","UniRef90_A0A038CDV4","UniRef50_A0A038CDV4","PA14_15790","","","CDS","1345181..1347709(-)","2529","","phosphoenolpyruvate-protein phosphotransferase","","89.1","5.32","-20.27",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_61540","YP_793114.1","116052797","Q02G22","Q02G22_PSEAB","UPI000039644B","UniRef100_S0J0Q1","UniRef90_Q9HVE0","UniRef50_Q4K9N3","PA14_61540","","","CDS","5489509..5491881(+)","2373","","hypothetical protein","","86.0","5.12","-11.91",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_20740","YP_789802.1","116051365","Q02QI4","Q02QI4_PSEAB","UPI0000396064","UniRef100_W1MFW2","UniRef90_W0YW12","UniRef50_I2BZ42","PA14_20740","","","CDS","1784576..1785274(-)","699","flgA","flagellar basal body P-ring biosynthesis protein FlgA","","25.5","8.47","2.15",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_66540","YP_793502.1","116053181","Q02EY4","Q02EY4_PSEAB","UPI0000396F91","UniRef100_Q02EY4","UniRef90_Q9HUD6","UniRef50_Q9HUD6","PA14_66540","","","CDS","5935291..5936271(+)","981","","hypothetical protein","","34.2","5.37","-4.10",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_25520","YP_790193.1","116050982","Q02PE3","Y2552_PSEAB","UPI00000C58B2","UniRef100_B7V148","UniRef90_B7V148","UniRef50_B7LN79","PA14_25520","","","CDS","2230687..2230872(+)","186","","hypothetical protein","","6.7","4.45","-3.05",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_71530","YP_793895.1","116053568","Q02DU1","Q02DU1_PSEAB","UPI00000C5FF7","UniRef100_W0Z0M0","UniRef90_A6VEN4","UniRef50_Q47Y32","PA14_71530","","","CDS","6373744..6374601(+)","858","purU2","formyltetrahydrofolate deformylase","","32.3","6.63","-2.76",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_30380","YP_790587.1","116050594","Q02N99","Q02N99_PSEAB","UPI00000C5764","UniRef100_W0YUX1","UniRef90_A6V4I0","UniRef50_Q4K9W2","PA14_30380","","","CDS","2632273..2632578(-)","306","","hypothetical protein","","10.9","4.37","-6.38",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_35460","YP_790984.1","116050199","Q02M52","Q02M52_PSEAB","UPI0000E44A97","UniRef100_A0A077JWB0","UniRef90_A0A024HII3","UniRef50_Q4K3I6","PA14_35460","","","CDS","3152097..3153542(-)","1446","","AGCS sodium/alanine/glycine symporter","","51.5","8.44","4.76",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_40490","YP_791384.1","116049809","Q02L02","Q02L02_PSEAB","UPI000045D203","UniRef100_A0A071L2B5","UniRef90_A0A071L2B5","UniRef50_P46125","PA14_40490","","","CDS","3616827..3617750(+)","924","","hypothetical protein","","31.6","7.16","0.40",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_46140","YP_791835.1","116049362","Q02JQ1","Q02JQ1_PSEAB","UPI00000C536D","UniRef100_Q9I3S8","UniRef90_Q9I3S8","UniRef50_Q9I3S8","PA14_46140","","","CDS","4103096..4104478(+)","1383","","hypothetical protein","","48.8","4.65","-18.78",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_04560","YP_788519.1","116054076","Q02U67","Q02U67_PSEAB","UPI0000E448BB","UniRef100_Q02U67","UniRef90_Q02U67","UniRef50_B7V2R1","PA14_04560","","","CDS","405267..406361(+)","1095","","hypothetical protein","","39.7","8.71","2.67",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_50940","YP_792235.1","116048963","Q02IK1","Q02IK1_PSEAB","UPI0000E44B69","UniRef100_Q02IK1","UniRef90_Q02IK1","UniRef50_A4VKB6","PA14_50940","","","CDS","4526078..4526572(+)","495","","hypothetical protein","","19.0","6.96","-0.08",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_09470","YP_788908.1","116052248","Q02T28","Q02T28_PSEAB","UPI0000E448E7","UniRef100_W0YVT5","UniRef90_Q02L47","UniRef50_Q02L47","PA14_09470","","","CDS","812129..812617(-)","489","phzB1","phenazine biosynthesis protein","","18.9","5.60","-4.65",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_55634","","","","","","","","","PA14_55634","","","tRNA","4955401..4955473(-)","73","","tRNA-Ala","","","","",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_14570","","","","","","","","","PA14_14570","","","tRNA","1244743..1244826(-)","84","","tRNA-Leu","","","","",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_60370","YP_793019.1","116052703","Q02GB7","SYI_PSEAB","UPI0000E44C07","UniRef100_Q02GB7","UniRef90_Q9HVM4","UniRef50_Q9HVM4","PA14_60370","","","CDS","5379415..5382246(-)","2832","ileS","isoleucyl-tRNA synthetase","","105.4","6.09","-16.70",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_19600","YP_789707.1","116051460","Q02QS9","Q02QS9_PSEAB","UPI00003960AC","UniRef100_W0YXG1","UniRef90_A6V1Y6","UniRef50_G8QBS2","PA14_19600","","","CDS","1693512..1693850(-)","339","","hypothetical protein","","12.4","5.90","-3.60",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_65230","YP_793406.1","116053087","Q02F80","PURA_PSEAB","UPI0000132B01","UniRef100_B7V201","UniRef90_Q4KJ68","UniRef50_Q9KNX8","PA14_65230","","","CDS","5813463..5814755(-)","1293","purA","adenylosuccinate synthetase","","46.8","5.95","-7.25",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_24370","YP_790098.1","116051072","Q02PN8","Q02PN8_PSEAB","UPI0000395FA6","UniRef100_Q02PN8","UniRef90_W0YWD1","UniRef50_W0YWD1","PA14_24370","","","CDS","2120707..2121786(-)","1080","","hypothetical protein","","39.4","8.44","4.79",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_70360","YP_793804.1","116053477","Q02E32","Q02E32_PSEAB","UPI0000E44C80","UniRef100_Q02E32","UniRef90_Z2D7H3","UniRef50_U2AXQ2","PA14_70360","","","CDS","6273680..6274297(-)","618","","hypothetical protein","","22.4","9.39","2.97",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_29180","YP_790491.1","116050689","Q02NJ5","Q02NJ5_PSEAB","UPI0000395E91","UniRef100_A0A077JSD4","UniRef90_A6V8F0","UniRef50_Q4K3I3","PA14_29180","","","CDS","2523048..2524067(+)","1020","","AraC family transcriptional regulator","","38.2","5.94","-4.49",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_34200","YP_790888.1","116050295","Q02ME8","Q02ME8_PSEAB","UPI0000E44A8D","UniRef100_S0I9F3","UniRef90_O31040","UniRef50_Q8PP42","PA14_34200","","","CDS","3041071..3042255(+)","1185","","FMNH2-dependent monooxygenase","","44.0","6.19","-2.11",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_39260","YP_791288.1","116049903","Q02L98","Q02L98_PSEAB","UPI000045D22F","UniRef100_Q02L98","UniRef90_Q9I2F2","UniRef50_Q9I2F2","PA14_39260","","","CDS","3495613..3496365(+)","753","","hypothetical protein","","25.6","7.03","0.07",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_44860","YP_791739.1","116049458","Q02JZ7","ALLA_PSEAB","UPI0000125896","UniRef100_B7UW34","UniRef90_A6V7Z0","UniRef50_A4VP33","PA14_44860","","","CDS","3997636..3998145(+)","510","","ureidoglycolate hydrolase","","19.0","5.56","-4.59",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_03320","YP_788424.1","116053982","Q02UG2","Q02UG2_PSEAB","UPI0000E448A8","UniRef100_Q02UG2","UniRef90_Q02UG2","UniRef50_Q02UG2","PA14_03320","","","CDS","302683..303804(-)","1122","","hypothetical protein","","41.1","5.26","-6.01",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_49800","YP_792139.1","116049059","Q02IU7","Q02IU7_PSEAB","UPI00000C5261","UniRef100_W0YM59","UniRef90_W0WIM3","UniRef50_P80874","PA14_49800","","","CDS","4429321..4430310(+)","990","","oxidoreductase","","36.5","5.17","-6.05",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_08360","YP_788821.1","116054376","Q02TB5","TRPC_PSEAB","UPI0000396E23","UniRef100_Q02TB5","UniRef90_P20577","UniRef50_P00911","PA14_08360","","","CDS","716114..716950(+)","837","trpC","indole-3-glycerol-phosphate synthase","","30.3","4.64","-11.35",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_54570","YP_792533.1","116048667","Q02HQ3","Q02HQ3_PSEAB","UPI000045D02E","UniRef100_Q02HQ3","UniRef90_Q9I5H7","UniRef50_C1DL50","PA14_54570","","","CDS","4836582..4838099(+)","1518","","hypothetical protein","","52.8","8.76","5.77",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_13350","YP_789212.1","116051945","Q02S74","Q02S74_PSEAB","UPI000039620B","UniRef100_Q02S74","UniRef90_Q9HXA5","UniRef50_Q9HXA5","PA14_13350","","","CDS","1148922..1149641(-)","720","","hypothetical protein","","27.3","5.04","-9.13",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_59320","YP_792926.1","116052611","Q02GL0","Q02GL0_PSEAB","UPI00001B2565","UniRef100_Q02GL0","UniRef90_Q02GL0","UniRef50_Q02GL0","PA14_59320","","","CDS","5284818..5285348(+)","531","pilS2","type IV B pilus protein","","17.9","9.17","2.92",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_18350","YP_789611.1","116051552","Q02R25","ARNA_PSEAB","UPI00003960EC","UniRef100_Q02R25","UniRef90_Q9HY63","UniRef50_O52325","PA14_18350","","","CDS","1574120..1576108(-)","1989","","bifunctional UDP-glucuronic acid decarboxylase/UDP-4-amino-4-deoxy-L-arabinose formyltransferase","","74.3","6.68","-3.48",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_64090","YP_793312.1","116052994","Q02FH4","Q02FH4_PSEAB","UPI0000126070","UniRef100_O30557","UniRef90_O30557","UniRef50_O30557","PA14_64090","","","CDS","5712489..5712932(+)","444","aroQ1","3-dehydroquinate dehydratase","","16.2","6.68","-1.64",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_23210","YP_790008.1","116051161","Q02PX8","Q02PX8_PSEAB","UPI00006D9234","UniRef100_Q02PX8","UniRef90_Q9HZ62","UniRef50_Q9HZ62","PA14_23210","","","CDS","2010471..2011151(-)","681","","phosphoglycolate phosphatase","","25.0","4.99","-7.71",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_69140","YP_793708.1","116053383","Q02EC8","Q02EC8_PSEAB","UPI00000C5F6D","UniRef100_W0Z212","UniRef90_W0Z212","UniRef50_Q3K4W4","PA14_69140","","","CDS","6166506..6167474(-)","969","","CDP-6-deoxy-delta-3,4-glucoseen reductase","","35.4","5.80","-10.51",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_28110","YP_790397.1","116050782","Q02NT9","Q02NT9_PSEAB","UPI0000395ED4","UniRef100_Q02NT9","UniRef90_Q9I061","UniRef50_Q9I061","PA14_28110","","","CDS","2434601..2435260(-)","660","","hypothetical protein","","22.7","4.62","-8.80",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_33030","YP_790792.1","116050391","Q02MP4","Q02MP4_PSEAB","UPI0000E44A7E","UniRef100_Q02MP4","UniRef90_A6V533","UniRef50_O86564","PA14_33030","","","CDS","2890441..2891817(+)","1377","sdaA","L-serine dehydratase","","49.0","6.78","-1.12",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_38040","YP_791192.1","116049997","Q02LJ4","Q02LJ4_PSEAB","UPI00000C5571","UniRef100_K1DUN1","UniRef90_A6V6B5","UniRef50_A0A090V5G4","PA14_38040","","","CDS","3392967..3393899(+)","990","cmrA","chloramphenicol resistance activator CmrA","Class 1","36.6","9.25","6.83",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_43030","YP_791588.1","116049607","Q02KE8","Q02KE8_PSEAB","UPI00000C5430","UniRef100_W0YRR8","UniRef90_G8Q745","UniRef50_G8Q745","PA14_43030","","","CDS","3827587..3829062(-)","1476","hsiC2","HsiC2","Class 1","55.6","5.10","-13.39",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_02130","YP_788328.1","116053891","Q02UQ8","Y213_PSEAB","UPI00000C4F79","UniRef100_Q02UQ8","UniRef90_Q02UQ8","UniRef50_Q02UQ8","PA14_02130","","","CDS","192659..193039(-)","381","","hypothetical protein","","14.6","4.29","-11.07",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_48700","YP_792043.1","116049155","Q02J43","Q02J43_PSEAB","UPI0000E44B4C","UniRef100_Q02J43","UniRef90_Q9I4D1","UniRef50_Q9I4D1","PA14_48700","","","CDS","4330448..4332289(-)","1842","kefB","glutathione-regulated potassium-efflux system protein KefB","","66.3","6.88","-0.60",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_07230","YP_788726.1","116054282","Q02TL0","Q02TL0_PSEAB","UPI0000125826","UniRef100_Q9I5Y1","UniRef90_Q9I5Y1","UniRef50_P29271","PA14_07230","","","CDS","623313..624377(+)","1065","fda","fructose-1,6-bisphosphate aldolase","","38.6","5.26","-10.47",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_53400","YP_792437.1","116048763","Q02HZ9","Q02HZ9_PSEAB","UPI00000C5183","UniRef100_A0A071KV64","UniRef90_A0A022P300","UniRef50_F4C9I9","PA14_53400","","","CDS","4735450..4736562(-)","1113","","oxidoreductase","","40.3","5.49","-6.33",""
